model,config,size,prompt_set,policy,backend,trial_index,runtime_s,error,throughput_tok_s,compute_used_gb,compute_total_gb,dest_used_gb,dest_total_gb,gpu_mem_util,offload_kv_capacity_gb,max_seq,avg_input_length,max_tokens,num_gpu_blocks,dest_gpu_id,gpu_mem_util,blocks_offloaded,blocks_reloaded,blocks_allocated,blocks_evicted,blocks_freed
facebook/opt-125m,opt-125m_large_shared_arc,large,shared_prefix,arc,gpu,1,65.88907425399975,,92352.18537966655,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,300,85,6000,151668,1,0.032,54962,62,0,0,0
facebook/opt-125m,opt-125m_large_shared_arc,large,shared_prefix,arc,cpu,1,63.16408930899979,,96336.38459080883,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,300,85,6000,151668,1,0.032,53599,41,0,0,0
facebook/opt-125m,opt-125m_xlarge_shared_lru,xlarge,shared_prefix,lru,gpu,1,64.17218416099968,,94823.01529169593,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,500,85,6000,151668,1,0.032,54812,41,0,0,0
facebook/opt-125m,opt-125m_xlarge_shared_lru,xlarge,shared_prefix,lru,cpu,1,64.8544387969996,,93825.49772802157,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,500,85,6000,151668,1,0.032,52226,63,0,0,0
facebook/opt-125m,opt-125m_xlarge_shared_arc,xlarge,shared_prefix,arc,gpu,1,64.60274311300054,,94191.04680054159,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,500,85,6000,151668,1,0.032,54812,41,0,0,0
facebook/opt-125m,opt-125m_xlarge_shared_arc,xlarge,shared_prefix,arc,cpu,1,66.2567105069993,,91839.75409339384,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,500,85,6000,151668,1,0.032,54802,38,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_uniq_lru,xsmall,unique,lru,gpu,1,174.08371956099973,,35069.33339542289,31.619219456,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,105,6000,42657,1,0.3,52442,3,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_uniq_lru,xsmall,unique,lru,cpu,1,169.87753044199962,,35937.65452155779,31.619219456,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,105,6000,42657,1,0.3,52469,6,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_uniq_arc,xsmall,unique,arc,gpu,1,167.7139933430003,,36401.25596147698,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,105,6000,42657,1,0.3,49961,4,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_uniq_arc,xsmall,unique,arc,cpu,1,170.14138383900035,,35881.92280002246,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,105,6000,42657,1,0.3,52469,6,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_uniq_lru,small,unique,lru,gpu,1,218.6200550069998,,27925.15993011039,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,105,6000,42657,1,0.3,58260,2,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_uniq_lru,small,unique,lru,cpu,1,166.7246732200001,,36617.255755206665,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,105,6000,42657,1,0.3,50635,3,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_uniq_arc,small,unique,arc,gpu,1,182.75194606500008,,33405.93701710083,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,105,6000,42657,1,0.3,52727,3,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_uniq_arc,small,unique,arc,cpu,1,169.35038099699977,,36049.52031438392,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,105,6000,42657,1,0.3,51429,15,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_uniq_lru,medium,unique,lru,gpu,1,194.8916612209996,,31325.096013611204,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,105,6000,42657,1,0.3,54609,14,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_uniq_lru,medium,unique,lru,cpu,1,170.62086342400016,,35781.08724505053,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,105,6000,42657,1,0.3,52101,17,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_uniq_arc,medium,unique,arc,gpu,1,205.30848849700033,,29735.740809806786,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,105,6000,42657,1,0.3,57412,9,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_uniq_arc,medium,unique,arc,cpu,1,179.86540877900006,,33942.04611905778,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,105,6000,42657,1,0.3,53678,4,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_uniq_lru,large,unique,lru,gpu,1,218.92953089799994,,27885.68529315646,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,105,6000,42657,1,0.3,58260,2,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_uniq_lru,large,unique,lru,cpu,1,162.57963459800067,,37550.82864526918,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,105,6000,42657,1,0.3,49487,3,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_uniq_arc,large,unique,arc,gpu,1,169.11414974200034,,36099.87697252865,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,105,6000,42657,1,0.3,50461,3,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_uniq_arc,large,unique,arc,cpu,1,177.40669489100037,,34412.455537548594,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,105,6000,42657,1,0.3,52009,9,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_uniq_lru,xlarge,unique,lru,gpu,1,200.23812355500013,,30488.699612304936,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,105,6000,42657,1,0.3,55179,7,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_uniq_lru,xlarge,unique,lru,cpu,1,166.05959173199972,,36763.91069208901,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,105,6000,42657,1,0.3,50635,3,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_uniq_arc,xlarge,unique,arc,gpu,1,196.14880170199922,,31124.329830345203,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,105,6000,42657,1,0.3,53503,8,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_uniq_arc,xlarge,unique,arc,cpu,1,169.55831331699937,,36005.31215822098,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,105,6000,42657,1,0.3,52469,6,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_shared_lru,xsmall,shared_prefix,lru,gpu,1,74.13645058200018,,82010.93999334495,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,80,6000,42657,1,0.3,29325,124,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_shared_lru,xsmall,shared_prefix,lru,cpu,1,73.12998347899975,,83139.6331676453,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,80,6000,42657,1,0.3,28810,150,0,0,0
