model,config,size,prompt_set,policy,backend,trial_index,runtime_s,error,throughput_tok_s,compute_used_gb,compute_total_gb,dest_used_gb,dest_total_gb,gpu_mem_util,offload_kv_capacity_gb,max_seq,avg_input_length,max_tokens,num_gpu_blocks,dest_gpu_id,gpu_mem_util,preempt_after_tokens,blocks_offloaded,blocks_reloaded,blocks_allocated,blocks_evicted,blocks_freed
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_lru,large,shared_prefix,lru,cpu,1,293.8552836100007,,20690.456626498042,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,20,27893,579,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_arc,large,shared_prefix,arc,gpu,1,349.3416929650002,,17404.163666800407,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,20,28694,775,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_arc,large,shared_prefix,arc,cpu,1,278.09554956899956,,21862.989211524447,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,20,27833,574,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_lru,xlarge,shared_prefix,lru,gpu,1,256.3866570169994,,23714.182597251438,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,20,27402,630,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_lru,xlarge,shared_prefix,lru,cpu,1,256.2404071719993,,23727.717525514425,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,20,27630,686,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_arc,xlarge,shared_prefix,arc,gpu,1,256.86330288299905,,23670.177607150967,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,20,27699,560,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_arc,xlarge,shared_prefix,arc,cpu,1,267.5103380769997,,22728.09358960155,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,20,29004,667,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_uniq_lru,xsmall,unique,lru,gpu,1,1802.39133072,,3387.166757821255,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,105,6000,42657,1,0.3,20,50165,22,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_uniq_lru,xsmall,unique,lru,cpu,1,1702.9009808849987,,3585.0587136471245,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,105,6000,42657,1,0.3,20,50179,22,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_uniq_arc,xsmall,unique,arc,gpu,1,1604.1012057520002,,3805.869591088541,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,105,6000,42657,1,0.3,20,50079,42,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_uniq_arc,xsmall,unique,arc,cpu,1,2019.5506942730008,,3022.9496181068544,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,105,6000,42657,1,0.3,20,51119,20,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_uniq_lru,small,unique,lru,gpu,1,1981.584725277,,3080.8675107982576,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,105,6000,42657,1,0.3,20,54095,10,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_uniq_lru,small,unique,lru,cpu,1,10993.477095519003,,555.329305455908,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,105,6000,42657,1,0.3,20,51120,10,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_uniq_arc,small,unique,arc,gpu,1,2417.369686304999,,2525.472224867526,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,105,6000,42657,1,0.3,20,52864,11,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_uniq_arc,small,unique,arc,cpu,1,3755.599363729001,,1625.5727538355522,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,105,6000,42657,1,0.3,20,52142,10,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_uniq_lru,medium,unique,lru,gpu,1,7010.163722661,,870.8783762446268,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,105,6000,42657,1,0.3,20,51806,35,0,0,0
